label,source_similarity_loss_weight,hard_negative_loss_weight,source_aware_shared_gradient,rows,target_fingerprint_cosine,source_fingerprint_cosine,source_target_fingerprint_cosine,prior_target_fingerprint_cosine,target_fp_gain_vs_source_target,target_fp_gain_vs_prior,target_property_mae,prior_target_property_mae,property_mae_minus_prior,delta_mae,prior_delta_mae,delta_mae_minus_prior,latent_mae,generated_minus_prior_latent_mae,train_source_similarity_mse,train_source_aware_hard_negative,eval_metrics
shared_low,0.05,0.02,True,1000,0.3719638388945542,0.36027924493435953,0.7987357662496573,0.4606363530060696,-0.42677192735510305,-0.08867251411151539,8.62774459761381,8.948073612421751,-0.32032901480794074,4.132954286545515,2.1051291598975657,2.0278251266479494,0.3034599225372076,0.17619041488319637,0.1433735888169297,0.22251474024064916,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_sweep_v2/shared_low/eval_latent/metrics.json
shared_mid,0.1,0.03,True,1000,0.386164509653725,0.37526134696510016,0.7987357662496573,0.461553366654487,-0.41257125659593225,-0.07538885700076198,8.828476515293122,8.376102496922016,0.45237401837110625,2.4379026084840296,2.181302699521184,0.25659990896284546,0.2783241221308708,0.1299225456789136,0.13346633510752243,0.18028371666882248,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_sweep_v2/shared_mid/eval_latent/metrics.json
shared_tiny,0.02,0.01,True,1000,0.41122472869268595,0.39582143399800235,0.7987357662496573,0.4586490440739591,-0.3875110375569713,-0.047424315381273174,8.681796352267265,8.490848371326923,0.19094798094034182,2.677494664281607,2.410488546565175,0.267006117716432,0.27409463438391685,0.12119952627271414,0.13858200338807203,0.24299651750414128,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_sweep_v2/shared_tiny/eval_latent/metrics.json
sim002_head,0.02,0.0,False,1000,0.3761149589341121,0.3586543517449735,0.7987357662496573,0.44723384918384534,-0.42262080731554513,-0.07111889024973322,8.088547028899193,8.058042834103107,0.03050419479608557,3.411769590899348,2.1160171661972997,1.2957524247020484,0.27831801487505436,0.13186672848463057,0.13523880880596323,0.319890965537801,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_sweep_v2/sim002_head/eval_latent/metrics.json
sim005_head,0.05,0.0,False,1000,0.4003608154312877,0.3850092847289372,0.7987357662496573,0.4497463869160764,-0.39837495081836954,-0.04938557148478867,8.061142812490463,8.546704696476459,-0.4855618839859961,2.8799686565101146,2.135662640094757,0.7443060164153574,0.2718347238972783,0.11437571754679084,0.1349547759861882,0.35241509260111376,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_sweep_v2/sim005_head/eval_latent/metrics.json
sim010_head,0.1,0.0,False,1000,0.3833146983510567,0.37118418899123773,0.7987357662496573,0.4466761774918836,-0.41542106789860056,-0.0633614791408269,8.067315437823535,7.501051333248615,0.5662641045749197,3.1630926307439804,2.4299027151465418,0.7331899155974386,0.27938739681243896,0.12430269041657448,0.13029952535893452,0.35903964556265555,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_sweep_v2/sim010_head/eval_latent/metrics.json
sim015_head,0.15,0.0,False,1000,0.38423322985660724,0.37216765849683264,0.7987357662496573,0.45006357850635553,-0.41450253639305,-0.0658303486497483,9.279279905080795,8.518029059052468,0.7612508460283269,2.4940171220302583,1.9693954205214976,0.5246217015087606,0.2806740625947714,0.11465075561404228,0.12531650940114955,0.3653284431315353,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_sweep_v2/sim015_head/eval_latent/metrics.json
sim020_head,0.2,0.0,False,1000,0.36898052939686254,0.35979465096640945,0.7987357662496573,0.4478329257223113,-0.4297552368527947,-0.07885239632544877,8.678738921284676,10.162741990208627,-1.4840030689239505,2.2242988557517527,2.0775624121576546,0.1467364435940981,0.2777428388223052,0.15726618811115622,0.1224407530874484,0.3770133726528148,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_sweep_v2/sim020_head/eval_latent/metrics.json
sim030_head,0.3,0.0,False,1000,0.3837898394128584,0.3766041978234581,0.7987357662496573,0.4486600072594687,-0.4149459268367989,-0.06487016784661032,8.686044595748186,9.274787859916687,-0.5887432641685013,2.459417970329523,2.515520081043243,-0.056102110713720066,0.2743740346431732,0.09971793626993894,0.11444380802428497,0.3602749140552394,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_sweep_v2/sim030_head/eval_latent/metrics.json
sim045_head,0.45,0.0,False,1000,0.37356905601185736,0.3687347509811221,0.7987357662496573,0.4430985868268068,-0.4251667102377999,-0.06952953081494945,7.903876969248056,7.951440942108631,-0.047563972860574566,2.2539610882997514,2.5917682285904884,-0.337807140290737,0.2634883286729455,0.11960915072634816,0.11204106327769132,0.39586563747090997,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_sweep_v2/sim045_head/eval_latent/metrics.json
strong_045_015,0.45,0.15,False,1000,0.36068115883193136,0.34895260014677937,0.7987357662496573,0.45985588106481257,-0.4380546074177259,-0.09917472223288121,9.11416908735037,8.359832766354083,0.7543363209962859,3.2104179044514893,2.1809289131611584,1.029488991290331,0.30381559713184836,0.19267372423410414,0.14405923053528233,0.13983059645981044,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_sweep_v2/strong_045_015/eval_latent/metrics.json
strong_sim_cool,0.45,0.0,False,1000,0.37356905601185736,0.3687347509811221,0.7987357662496573,0.4430985868268068,-0.4251667102377999,-0.06952953081494945,7.903876969248056,7.951440942108631,-0.047563972860574566,2.2539610882997514,2.5917682285904884,-0.337807140290737,0.2634883286729455,0.11960915072634816,0.11204106327769132,0.5341737554500493,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_sweep_v2/strong_sim_cool/eval_latent/metrics.json
temp_cool_015_005,0.15,0.05,False,1000,0.3697334463880491,0.35752171999838295,0.7987357662496573,0.46334453611200127,-0.42900231986160814,-0.09361108972395216,9.099161412239075,8.48555453401804,0.6136068782210362,2.6581812168508767,2.35059599840641,0.3075852184444665,0.28613665349781514,0.1612132011577487,0.14704640636261707,0.18530953406770115,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_sweep_v2/temp_cool_015_005/eval_latent/metrics.json
temp_warm_015_005,0.15,0.05,False,1000,0.3775581636922616,0.36087764052106514,0.7987357662496573,0.459868882170457,-0.42117760255739567,-0.08231071847819543,8.781596588015557,7.633141967624426,1.1484546203911306,2.4043583136200906,2.20063033503294,0.20372797858715064,0.27878776232898234,0.14289147571846844,0.1387545461722353,0.1527167387988827,SketchMol-Unified-3MDiffusion/outputs/unified_generation_3m_sourceaware_sweep_v2/temp_warm_015_005/eval_latent/metrics.json
