row_id,smiles,MW,LogP,QED,TPSA,HBD,HBA,RB,SA,C,N,O,S,F,Cl,Br,I,ring_count,scaffold_class,fg_ester,fg_amide,fg_amine,fg_alcohol,fg_halogen,img_mean,img_std,img_contrast,img_edge_density,img_texture,hist_0,hist_1,hist_2,hist_3,patch_mean_min,patch_mean_max,patch_mean_std
78,OC(/C=C/C=C/c1ccccc1)CCc1ccccc1,264.368,4.249700000000003,0.773285808676253,20.23,1.0,1.0,6.0,2.38,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.7107979655265808,0.11254478245973587,0.7490196228027344,0.1909722222222222,0.0780196562409401,0.033203125,0.0,0.8634982638888888,0.1032986111111111,0.628839910030365,0.7321963906288147,0.03666866570711136
275,O=[N+]([O-])c1ccc(-c2nnc(N3CCS(=O)(=O)CC3)s2)o1,330.34700000000004,0.9410999999999997,0.6021652831291124,119.43999999999998,0.0,9.0,3.0,3.46,10.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,0.0,0.0,0.8065427541732788,0.19749806821346283,0.9176470637321472,0.19921875,0.1349106878042221,0.07085503472222222,0.0,0.0,0.9291449652777778,0.63564133644104,0.8616626262664795,0.08921591192483902
68,CC(=O)O[C@H]1c2c(ccc3ccc(=O)oc23)OC(C)(C)[C@H]1OC(C)=O,346.3350000000001,2.4999000000000002,0.6091397712080626,92.04000000000002,0.0,7.0,2.0,3.2600000000000002,18.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,0.0,0.7473269701004028,0.18965928256511688,0.8627451062202454,0.1968315972222222,0.11977256089448929,0.07660590277777778,0.0,0.0007595486111111111,0.9226345486111112,0.550374448299408,0.80284583568573,0.0904935896396637
29,CCCc1cnnn1-c1c(Cl)cc(C(F)(F)F)cc1Cl,324.13300000000004,4.5454000000000025,0.8294270023483533,30.71,0.0,3.0,3.0,2.94,12.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,5.0,0.6764922738075256,0.1603178083896637,0.7882353067398071,0.19954427083333334,0.10572707653045654,0.06868489583333333,0.0,0.9115668402777778,0.019748263888888888,0.5070397853851318,0.7204112410545349,0.06961934268474579
201,CCOC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(CN2CCCCC2)cc1)c1ccccc1,481.59600000000034,5.781700000000005,0.33059280159947735,70.66999999999999,2.0,5.0,7.0,4.01,30.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,3.0,2.0,0.0,0.6068602204322815,0.18326875567436218,0.7333333492279053,0.1999782986111111,0.11607766896486282,0.11469184027777778,0.0,0.8853081597222222,0.0,0.42431238293647766,0.673018753528595,0.09566500037908554
279,CC1=CC=C(C=O)C(c2ccc(N(C)C)cc2)C1,241.334,3.3115000000000023,0.7566387550087772,20.310000000000002,0.0,2.0,3.0,2.4000000000000004,16.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.742667019367218,0.12590652704238892,0.8235294222831726,0.1978081597222222,0.08578673750162125,0.035698784722222224,0.0,0.154296875,0.8100043402777778,0.630936861038208,0.7674768567085266,0.04561794921755791
25,C=CCn1cc(C[C@@H]2NC(=O)[C@@H]3CCCN3C2=O)c2ccc(OC)cc21,353.4220000000001,1.8677999999999995,0.8349150758363839,63.57000000000001,1.0,4.0,5.0,3.46,20.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,3.0,1.0,0.0,0.7737710475921631,0.18776410818099976,0.886274516582489,0.197265625,0.12550607323646545,0.07118055555555555,0.0,0.0,0.9288194444444444,0.5535538792610168,0.8264433741569519,0.08776174485683441
360,Fc1cccc(-c2nnn[nH]2)c1,164.14300000000003,1.0057999999999998,0.6837262805341697,54.46,1.0,3.0,1.0,2.46,7.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,1.0,0.8317781090736389,0.13705328106880188,0.9215686321258545,0.1929253472222222,0.08730001002550125,0.03211805555555555,0.0,0.0,0.9678819444444444,0.7396922707557678,0.8574754595756531,0.04320783540606499
359,Nc1nc2ccccc2n1CCc1ccccc1,237.30599999999995,2.861200000000001,0.7608484287176296,43.839999999999996,1.0,3.0,3.0,2.7300000000000004,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0,0.7569419145584106,0.13939666748046875,0.843137264251709,0.19986979166666666,0.09807450324296951,0.04210069444444445,0.0,0.010416666666666666,0.9474826388888888,0.6472017765045166,0.7876498103141785,0.04937708005309105
326,NC(=S)N1N=C(c2ccccc2)CC1c1ccccc1Cl,315.82900000000006,3.734700000000003,0.8584786328951552,41.62,1.0,2.0,2.0,2.98,16.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,0.0,1.0,0.7184219360351562,0.14217454195022583,0.8078431487083435,0.19368489583333334,0.09402576088905334,0.05002170138888889,0.0,0.4776475694444444,0.4723307291666667,0.5867170691490173,0.7518790364265442,0.05663197860121727
